Instagram,com.instagram.android,2,1620741799591,0,63574574,0
Netflix,com.netflix.mediaclient,2,1620737347979,0,41167472,0
WhatsApp,com.whatsapp,2,1620741836961,0,27375264,0
Telegram,org.telegram.messenger,2,1620737172022,0,20474076,0
Phone,com.android.dialer,2,1620741953497,0,18403297,0
Browser,com.vivo.browser,1,1620742845522,0,13625246,0
YouTube,com.google.android.youtube,2,1620737575077,0,12523550,0
Albums,com.vivo.gallery,2,1620741518958,0,7343441,0
File Manager,com.android.filemanager,1,1620742855057,0,164574,0
Sticker.ly,com.snowcorp.stickerly.android,1,1620709276022,0,146355,0
Facebook,com.facebook.katana,1,1620733580604,0,44515,0
Camera,com.android.camera,1,1620742931884,0,29864,0
Maps,com.google.android.apps.maps,1,1620707453718,0,21709,0
