WhatsApp,com.whatsapp,2,1621435606339,0,29647683,0
Phone,com.android.dialer,2,1621433398713,0,28063112,0
Instagram,com.instagram.android,2,1621432265096,0,27437902,0
Netflix,com.netflix.mediaclient,2,1621435269702,0,17604523,0
Truecaller,com.truecaller,2,1621433397800,0,16945043,0
Browser,com.vivo.browser,2,1621432270189,0,15355789,0
Facebook,com.facebook.katana,2,1621435426522,0,14093019,0
Amazon,in.amazon.mShop.android.shopping,1,1621435913685,0,13034951,0
YouTube,com.google.android.youtube,2,1621435780055,0,12252375,0
FreshMenu,com.freshmenu,1,1621435634112,0,10324622,0
Messenger,com.facebook.orca,1,1621435529134,0,10266334,0
Gmail,com.google.android.gm,2,1621427320484,0,8991592,0
Albums,com.vivo.gallery,2,1621422746374,0,7198570,0
Camera,com.android.camera,1,1621422293417,0,6611493,0
Notebloc,com.notebloc.app,1,1621418738361,0,1922115,0
Wynk Music,com.bsbportal.music,2,1621432138135,0,1899306,0
Prime Video,com.amazon.avod.thirdpartyclient,1,1621425469087,0,1506869,0
Drive,com.google.android.apps.docs,1,1621427273545,0,222812,0
Telegram,org.telegram.messenger,1,1621423532892,0,116274,0
Flipkart,com.flipkart.android,1,1621423905918,0,91659,0
Google Play Store,com.android.vending,1,1621435867713,0,72894,0
Swiggy,in.swiggy.android,1,1621425656006,0,38595,0
i Manager,com.iqoo.secure,1,1621408975790,0,38222,0
i Music,com.android.bbkmusic,1,1621423734490,0,30007,0
Google,com.google.android.googlequicksearchbox,1,1621425413207,0,28746,0
Uber,com.ubercab,1,1621423937601,0,28159,0
Hotstar,in.startv.hotstar,1,1621422809390,0,14413,0
GPay,com.google.android.apps.nbu.paisa.user,1,1621425484671,0,13411,0
Calculator,com.android.bbkcalculator,1,1621426545129,0,6156,0
Ola,com.olacabs.customer,0,1621422785730,0,1325,0
