Instagram,com.instagram.android,1,1621489694587,0,11784792,0
Netflix,com.netflix.mediaclient,1,1621489722669,0,7506462,0
WhatsApp,com.whatsapp,1,1621486919609,0,6676115,0
i Music,com.android.bbkmusic,1,1621485282602,0,3071374,0
Gmail,com.google.android.gm,1,1621489698417,0,1341726,0
Facebook,com.facebook.katana,1,1621487224897,0,1151215,0
Skype,com.skype.raider,1,1621488639764,0,340556,0
Phone,com.android.dialer,1,1621486014308,0,296163,0
Browser,com.vivo.browser,1,1621486723210,0,209427,0
Truecaller,com.truecaller,1,1621485878825,0,145775,0
Albums,com.vivo.gallery,1,1621486197095,0,47885,0
Contacts,com.android.contacts,1,1621485729885,0,10056,0
