Instagram,com.instagram.android,2,1621421423378,0,16596184,0
Phone,com.android.dialer,2,1621420770721,0,15435120,0
WhatsApp,com.whatsapp,2,1621420185446,0,14226790,0
Browser,com.vivo.browser,1,1621407936757,0,10375724,0
Albums,com.vivo.gallery,2,1621422179497,0,6631693,0
Camera,com.android.camera,1,1621421585142,0,5903218,0
Truecaller,com.truecaller,2,1621420370235,0,3917478,0
Netflix,com.netflix.mediaclient,2,1621421579928,0,3914749,0
Notebloc,com.notebloc.app,1,1621418738361,0,1922115,0
Facebook,com.facebook.katana,2,1621422205078,0,871575,0
Wynk Music,com.bsbportal.music,1,1621407965600,0,565855,0
YouTube,com.google.android.youtube,1,1621407392448,0,125416,0
Gmail,com.google.android.gm,2,1621418405612,0,76720,0
i Manager,com.iqoo.secure,1,1621408975790,0,38222,0
i Music,com.android.bbkmusic,0,1621397537758,0,2499,0
