WhatsApp,com.whatsapp,2,1620816489299,0,25166763,0
Instagram,com.instagram.android,2,1620816399772,0,19991036,0
Download Guru,com.xvideostudio.videodownload,1,1620801586815,0,8968001,0
YouTube,com.google.android.youtube,2,1620806477336,0,3698730,0
Netflix,com.netflix.mediaclient,1,1620817503398,0,2937251,0
Browser,com.vivo.browser,2,1620806178981,0,2687561,0
Albums,com.vivo.gallery,1,1620805157202,0,2357209,0
Drive,com.google.android.apps.docs,1,1620817454367,0,964999,0
Phone,com.android.dialer,2,1620805535902,0,594030,0
Google Play Store,com.android.vending,1,1620801657531,0,365575,0
Maps,com.google.android.apps.maps,1,1620805476310,0,114405,0
Swiggy,in.swiggy.android,1,1620815960517,0,90468,0
Telegram,org.telegram.messenger,1,1620800668071,0,76826,0
Video Downloader,com.instagram.video.downloader.story.saver.photo.downloader.videodownload.photodownload,1,1620801710726,0,53103,0
V-Appstore,com.vivo.appstore,1,1620801412000,0,41566,0
SonyLIV,com.sonyliv,1,1620817496607,0,30585,0
Hotstar,in.startv.hotstar,1,1620817536137,0,29784,0
Camera,com.android.camera,2,1620804645161,0,18382,0
Gmail,com.google.android.gm,1,1620802424764,0,17259,0
Amazon,in.amazon.mShop.android.shopping,0,1620806181907,0,850,0
